A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
1.14	-0.048	-0.62	0.537	0.766304	0.39	0.537	0	ILMN_1809959	51166	AADAT
1.21	0.154	1.91	0.06146	0.247621	3.66	0.06146	0	ILMN_2357031	51166	AADAT
6.59	0.108	0.58	0.56246	0.783441	0.34	0.56246	0	ILMN_1726986	51166	AADAT
5.71	0.307	2.6	0.01239	0.100767	6.74	0.01239	0	ILMN_1688755	22848	AAK1
2.29	0.136	1.23	0.22284	0.494661	1.52	0.22284	0	ILMN_1880387	22848	AAK1
1.43	-0.063	-0.67	0.50822	0.745826	0.44	0.50822	0	NA	NA	NA
7.75	-0.141	-1.58	0.12052	0.355402	2.5	0.12052	0	ILMN_1653165	14	AAMP
11.13	0.008	0.1	0.92372	0.971063	0.01	0.92372	0	ILMN_1662364	16	AARS
6.98	-0.007	-0.13	0.90097	0.961797	0.02	0.90097	0	ILMN_1674698	57505	AARS2
8.12	0.011	0.15	0.87974	0.951919	0.02	0.87974	0	ILMN_1700461	100885850	PTGES3L-AARSD1
7.4	0.002	0.03	0.975	0.990905	0	0.975	0	ILMN_1784269	132949	AASDH
7.62	0.055	0.57	0.57113	0.789427	0.33	0.57113	0	ILMN_1698189	60496	AASDHPPT
8.67	0.174	1.81	0.07699	0.279974	3.26	0.07699	0	ILMN_2096191	60496	AASDHPPT
5.72	0.011	0.05	0.96285	0.9864	0	0.96285	0	ILMN_1678323	10157	AASS
5.91	0.144	0.8	0.42757	0.688615	0.64	0.42757	0	ILMN_2157219	10157	AASS
8.85	-0.09	-1.53	0.13213	0.373206	2.35	0.13213	0	ILMN_1703743	26574	AATF
2.39	0.133	1.01	0.31536	0.592854	1.03	0.31536	0	ILMN_1699334	9625	AATK
3.1	-0.503	-2.33	0.0238	0.146198	5.44	0.0238	0	ILMN_1687609	9625	AATK
1.23	-0.138	-1.96	0.0554	0.234333	3.85	0.0554	0	ILMN_2068874	9625	AATK
2.17	0.012	0.08	0.93463	0.975073	0.01	0.93463	0	ILMN_1670117	18	ABAT
5.35	-0.097	-0.42	0.67388	0.848118	0.18	0.67388	0	ILMN_1805104	18	ABAT
3.72	0.55	1.87	0.06713	0.260358	3.51	0.06713	0	ILMN_2404407	18	ABAT
11.56	0.035	0.31	0.75991	0.895312	0.09	0.75991	0	ILMN_1766054	19	ABCA1
1.82	0.195	1.56	0.12437	0.361195	2.44	0.12437	0	ILMN_1753388	10349	ABCA10
2.26	0.48	2.33	0.02376	0.146008	5.45	0.02376	0	ILMN_2070570	10349	ABCA10
4.21	0.192	0.93	0.35581	0.62968	0.87	0.35581	0	ILMN_2232084	79963	ABCA11P
3.96	-0.252	-0.47	0.64387	0.832221	0.22	0.64387	0	ILMN_1750250	26154	ABCA12
3.82	0.388	2.11	0.03957	0.194486	4.47	0.03957	0	ILMN_2361400	26154	ABCA12
3.44	0.712	1.95	0.05656	0.236927	3.81	0.05656	0	ILMN_1704579	154664	ABCA13
1.59	0.056	0.6	0.55001	0.775344	0.36	0.55001	0	ILMN_1687636	20	ABCA2
5.64	-0.252	-1.93	0.05882	0.24149	3.74	0.05882	0	ILMN_1747627	20	ABCA2
7.13	-0.123	-0.73	0.46904	0.718506	0.53	0.46904	0	ILMN_1758523	21	ABCA3
6.09	0.645	1.76	0.0845	0.293867	3.1	0.0845	0	ILMN_1794965	24	ABCA4
2.99	0.218	1.18	0.24184	0.51637	1.4	0.24184	0	ILMN_1722286	23461	ABCA5
3.88	0.448	2.33	0.02424	0.147594	5.41	0.02424	0	ILMN_1784176	23461	ABCA5
3.29	0.035	0.17	0.86945	0.94694	0.03	0.86945	0	ILMN_1749001	23461	ABCA5
6.67	0.468	2.01	0.04996	0.220722	4.04	0.04996	0	ILMN_1701551	23460	ABCA6
4.93	0.481	2.43	0.01868	0.127437	5.92	0.01868	0	ILMN_1795507	23460	ABCA6
1.19	0.094	1.3	0.20047	0.467789	1.68	0.20047	0	ILMN_1729894	10347	ABCA7
7.24	-0.243	-1.16	0.24999	0.525886	1.36	0.24999	0	ILMN_1743205	10347	ABCA7
1.44	0.275	3.65	0.00063	0.017999	13.33	0.00063	1	NA	NA	NA
2.21	0.518	2.81	0.00711	0.072873	7.89	0.00711	0	ILMN_2129886	10351	ABCA8
9.27	0.091	0.45	0.65812	0.839701	0.2	0.65812	0	ILMN_1796801	10351	ABCA8
6.71	0.268	1.51	0.13716	0.380577	2.28	0.13716	0	ILMN_1720501	10350	ABCA9
3.92	0.521	2.23	0.03019	0.167673	4.98	0.03019	0	ILMN_1668446	10350	ABCA9
6.95	0.509	2.48	0.01682	0.119815	6.13	0.01682	0	ILMN_1812070	5243	ABCB1
5.35	0.938	3.71	0.00053	0.016222	13.76	0.00053	1	NA	NA	NA
7.85	0.142	1.78	0.08116	0.287558	3.17	0.08116	0	ILMN_1665730	23456	ABCB10
1.67	-0.065	-0.74	0.46429	0.714598	0.54	0.46429	0	ILMN_2232066	8647	ABCB11
1.32	-0.354	-3.93	0.00027	0.010571	15.44	0.00027	-1	ILMN_1767349	5244	ABCB4
1.24	0.069	0.86	0.39414	0.66123	0.74	0.39414	0	ILMN_1658257	340273	ABCB5
7.08	-0.098	-0.77	0.44437	0.701658	0.59	0.44437	0	ILMN_2193980	10058	ABCB6
7.68	0.111	1.27	0.20931	0.478304	1.62	0.20931	0	ILMN_1687840	22	ABCB7
4.77	0.263	1.58	0.12073	0.355775	2.49	0.12073	0	ILMN_2102422	11194	ABCB8
1.94	-0.02	-0.14	0.88827	0.956021	0.02	0.88827	0	NA	NA	NA
4.68	-0.175	-0.78	0.43902	0.697299	0.61	0.43902	0	ILMN_2343047	23457	ABCB9
5.88	-0.21	-1.13	0.26395	0.540906	1.28	0.26395	0	ILMN_2343048	23457	ABCB9
2.75	0.45	2.35	0.02296	0.143195	5.51	0.02296	0	ILMN_2335302	4363	ABCC1
6.34	0.088	0.48	0.63364	0.826014	0.23	0.63364	0	ILMN_1802404	4363	ABCC1
6.06	-0.147	-1.61	0.11474	0.345904	2.58	0.11474	0	ILMN_1776119	89845	ABCC10
1.22	0.028	0.31	0.76141	0.896143	0.09	0.76141	0	ILMN_2358714	85320	ABCC11
3.81	0.239	1.45	0.15483	0.406827	2.09	0.15483	0	ILMN_1732140	85320	ABCC11
1.84	-0.005	-0.03	0.97429	0.990603	0	0.97429	0	ILMN_1713008	85320	ABCC11
4.54	-0.102	-0.81	0.42197	0.684	0.66	0.42197	0	ILMN_1762093	94160	ABCC12
4.98	-0.241	-1.2	0.23519	0.509185	1.44	0.23519	0	ILMN_1709092	150000	ABCC13
2.09	-0.132	-1.16	0.2512	0.527414	1.35	0.2512	0	NA	NA	NA
2.73	-0.263	-2.5	0.01599	0.116639	6.23	0.01599	0	ILMN_1774344	150000	ABCC13
2.59	-0.445	-2.79	0.00755	0.0753	7.77	0.00755	0	ILMN_1676278	1244	ABCC2
2.5	-0.053	-0.41	0.68687	0.855222	0.16	0.68687	0	NA	NA	NA
10.27	0.01	0.05	0.96284	0.9864	0	0.96284	0	ILMN_1677814	8714	ABCC3
6.53	-0.03	-0.2	0.83852	0.932894	0.04	0.83852	0	ILMN_1788457	10257	ABCC4
5.91	0.238	1.5	0.14093	0.386423	2.24	0.14093	0	ILMN_2194009	10257	ABCC4
2.21	0.623	4.71	2e-05	0.002318	22.19	2e-05	1	ILMN_2302358	10057	ABCC5
8.29	0.11	0.86	0.39634	0.662908	0.73	0.39634	0	ILMN_1706531	10057	ABCC5
8.35	0.221	2.04	0.04679	0.212728	4.16	0.04679	0	ILMN_1651964	10057	ABCC5
1.33	-0.197	-1.7	0.09485	0.312259	2.9	0.09485	0	ILMN_1725675	368	ABCC6
1.89	-0.014	-0.14	0.89224	0.958172	0.02	0.89224	0	ILMN_1778352	368	ABCC6
3.44	0.168	1.12	0.26985	0.54705	1.25	0.26985	0	ILMN_1725414	368	ABCC6
1.45	-0.137	-1.95	0.05706	0.23786	3.8	0.05706	0	ILMN_1801521	368	ABCC6
3.16	-0.452	-3.34	0.00163	0.032045	11.12	0.00163	-1	ILMN_2406654	368	ABCC6
3.23	0.108	0.27	0.78577	0.907811	0.07	0.78577	0	ILMN_1767129	6833	ABCC8
3.13	0.537	2.53	0.01476	0.111224	6.39	0.01476	0	ILMN_1751453	10060	ABCC9
2.57	0.128	0.89	0.37829	0.647227	0.79	0.37829	0	ILMN_1746196	10060	ABCC9
3.92	0.191	1.13	0.26488	0.541697	1.27	0.26488	0	ILMN_2366473	10060	ABCC9
6.99	0.047	0.3	0.76399	0.897554	0.09	0.76399	0	ILMN_1772189	215	ABCD1
2.97	-0.055	-0.41	0.6844	0.8538	0.17	0.6844	0	ILMN_1652959	225	ABCD2
6.93	-0.08	-1.07	0.28857	0.565811	1.15	0.28857	0	ILMN_1674032	5825	ABCD3
1.77	-0.07	-0.81	0.41926	0.68181	0.66	0.41926	0	NA	NA	NA
2.72	-0.106	-0.94	0.34993	0.624537	0.89	0.34993	0	ILMN_2343917	5826	ABCD4
2.02	0.223	1.63	0.10941	0.337403	2.66	0.10941	0	NA	NA	NA
4.31	-0.748	-5.45	0	0.000512	29.75	0	-1	ILMN_1651501	5826	ABCD4
8.18	-0.039	-0.17	0.86743	0.94601	0.03	0.86743	0	ILMN_2330267	6059	ABCE1
8.11	0.009	0.04	0.96886	0.988582	0	0.96886	0	ILMN_1676846	6059	ABCE1
8.94	-0.086	-1.29	0.20167	0.469029	1.67	0.20167	0	ILMN_2392635	23	ABCF1
10.03	-0.087	-1.44	0.15616	0.408299	2.07	0.15616	0	ILMN_1763875	23	ABCF1
3.03	-0.244	-1.24	0.22256	0.494355	1.53	0.22256	0	ILMN_2284941	10061	ABCF2
7.9	0.106	1.14	0.25987	0.536587	1.3	0.25987	0	ILMN_1781999	10061	ABCF2
5.53	-0.047	-0.39	0.69882	0.862326	0.15	0.69882	0	ILMN_1669201	10061	ABCF2
6.54	-0.301	-3.04	0.00384	0.051424	9.22	0.00384	0	ILMN_1810085	55324	ABCF3
5.35	-0.095	-0.93	0.35745	0.630975	0.86	0.35745	0	ILMN_1658176	9619	ABCG1
2.2	-0.054	-0.49	0.62946	0.823882	0.24	0.62946	0	ILMN_2262362	9619	ABCG1
2.44	-0.181	-1.34	0.18731	0.450075	1.79	0.18731	0	NA	NA	NA
6.75	0.275	1.36	0.18143	0.441929	1.84	0.18143	0	ILMN_2329927	9619	ABCG1
6.38	0.205	1.42	0.16239	0.417448	2.01	0.16239	0	ILMN_1794782	9619	ABCG1
2.61	-0.25	-2.12	0.03931	0.193833	4.48	0.03931	0	ILMN_1695968	9619	ABCG1
3.73	0.644	1.84	0.07163	0.269548	3.39	0.07163	0	ILMN_1789641	9429	ABCG2
3.31	-0.297	-1.31	0.19582	0.462044	1.72	0.19582	0	ILMN_1779470	64137	ABCG4
5.06	0.026	0.23	0.82052	0.924603	0.05	0.82052	0	ILMN_1716592	64240	ABCG5
1.6	-0.175	-2.01	0.04944	0.219417	4.06	0.04944	0	ILMN_1680309	64241	ABCG8
1.77	0.171	1.54	0.13057	0.370869	2.36	0.13057	0	ILMN_1743371	84696	ABHD1
7.2	-0.554	-5.87	0	0.000212	34.5	0	-1	ILMN_1770031	55347	ABHD10
5.96	0.297	1.78	0.08142	0.28808	3.17	0.08142	0	ILMN_2338268	83451	ABHD11
1.81	0.278	1.26	0.21487	0.48511	1.58	0.21487	0	ILMN_1753912	83451	ABHD11
6.18	0.211	1.3	0.19842	0.465436	1.7	0.19842	0	ILMN_1737475	83451	ABHD11
7.68	0.291	1.73	0.08923	0.302994	3.01	0.08923	0	ILMN_1745116	26090	ABHD12
7.81	0.218	2.02	0.04891	0.21799	4.08	0.04891	0	ILMN_2318685	26090	ABHD12
8.28	-0.096	-1.16	0.25069	0.526801	1.35	0.25069	0	ILMN_2245305	26090	ABHD12
2.11	-0.348	-2.12	0.03935	0.193884	4.48	0.03935	0	ILMN_1707925	145447	ABHD12B
2.27	0.091	0.82	0.4148	0.67874	0.68	0.4148	0	ILMN_1698311	145447	ABHD12B
1.51	0.034	0.4	0.69081	0.858092	0.16	0.69081	0	ILMN_2367487	145447	ABHD12B
2.67	0.118	1.04	0.30125	0.578455	1.09	0.30125	0	ILMN_1785285	84945	ABHD13
1.9	-0.126	-1.25	0.21578	0.486266	1.57	0.21578	0	ILMN_2073969	84945	ABHD13
8.22	-0.166	-1.24	0.22127	0.492661	1.54	0.22127	0	ILMN_1794213	25864	ABHD14A
7.24	-0.434	-2.46	0.01753	0.122704	6.05	0.01753	0	ILMN_2227533	84836	ABHD14B
6.86	0.105	1.1	0.27613	0.553249	1.21	0.27613	0	ILMN_1769390	116236	ABHD15
5.83	-0.165	-1.55	0.12771	0.366427	2.4	0.12771	0	ILMN_2403446	11057	ABHD2
2.15	0.158	1.51	0.13759	0.381273	2.28	0.13759	0	ILMN_1787618	11057	ABHD2
4.63	-0.054	-0.48	0.6323	0.82526	0.23	0.6323	0	ILMN_1723662	11057	ABHD2
7.45	-0.159	-0.9	0.37173	0.642023	0.81	0.37173	0	ILMN_1801767	171586	ABHD3
6.51	-0.289	-3.17	0.00261	0.041333	10.07	0.00261	-1	ILMN_1700633	63874	ABHD4
8.91	0.279	1.47	0.14865	0.397919	2.15	0.14865	0	ILMN_1655702	51099	ABHD5
6.73	-0.102	-1.18	0.24301	0.517609	1.4	0.24301	0	ILMN_1706344	57406	ABHD6
4.55	0.135	1.1	0.27583	0.552968	1.21	0.27583	0	ILMN_1719498	253152	EPHX4
8.68	-0.185	-1.53	0.133	0.374499	2.33	0.133	0	ILMN_1712707	79575	ABHD8
3.94	0.103	0.93	0.35918	0.63247	0.86	0.35918	0	ILMN_1699750	79852	EPHX3
2.07	-0.144	-1.19	0.23974	0.514292	1.42	0.23974	0	ILMN_1739081	10006	ABI1
8.5	-0.047	-0.53	0.59662	0.805091	0.28	0.59662	0	ILMN_2329958	10006	ABI1
5.55	0.216	2.41	0.01956	0.130764	5.83	0.01956	0	ILMN_1775944	10152	ABI2
7.89	0.248	2.54	0.01437	0.109541	6.44	0.01437	0	ILMN_1724497	10152	ABI2
5.03	0.279	2.45	0.01805	0.125053	5.99	0.01805	0	ILMN_1720988	10152	ABI2
6.67	-0.166	-0.96	0.341	0.615612	0.92	0.341	0	ILMN_1755658	51225	ABI3
12.28	-0.097	-0.37	0.71036	0.869031	0.14	0.71036	0	ILMN_1673639	25890	ABI3BP
10.26	-0.057	-0.46	0.64752	0.83421	0.21	0.64752	0	ILMN_1713732	25	ABL1
3	-0.096	-0.71	0.47969	0.72656	0.51	0.47969	0	ILMN_1708922	25	ABL1
3.75	0.425	3.31	0.00176	0.033331	10.95	0.00176	1	ILMN_2268241	25	ABL1
4.21	-0.027	-0.18	0.85894	0.942016	0.03	0.85894	0	ILMN_1741628	27	ABL2
4.14	0.298	1.25	0.21717	0.488166	1.56	0.21717	0	ILMN_1657870	27	ABL2
4.18	0.283	1.97	0.05481	0.232823	3.87	0.05481	0	ILMN_2240003	27	ABL2
10.89	0.098	0.76	0.44845	0.704448	0.58	0.44845	0	ILMN_1785424	3983	ABLIM1
4.33	0.074	0.34	0.73185	0.880218	0.12	0.73185	0	ILMN_1731610	3983	ABLIM1
2.76	0.034	0.21	0.83279	0.930105	0.05	0.83279	0	ILMN_1696682	3983	ABLIM1
9.23	0.341	2.36	0.02244	0.141196	5.56	0.02244	0	ILMN_2396672	3983	ABLIM1
8.85	-0.449	-1.21	0.2308	0.50427	1.47	0.2308	0	ILMN_1758825	84448	ABLIM2
8.71	-0.36	-2.87	0.00602	0.066385	8.25	0.00602	0	ILMN_1656940	22885	ABLIM3
1.43	0.113	1.31	0.19476	0.460632	1.73	0.19476	0	ILMN_1656979	28	ABO
11.05	-0.257	-0.3	0.76894	0.899963	0.09	0.76894	0	ILMN_1731433	26	AOC1
9.98	-0.167	-2.13	0.03866	0.192232	4.52	0.03866	0	ILMN_1672878	29	ABR
2.95	-0.04	-0.25	0.80048	0.914374	0.06	0.80048	0	ILMN_1655114	29	ABR
2.22	-0.262	-2.11	0.03986	0.195206	4.46	0.03986	0	ILMN_1657045	29	ABR
2.1	0.243	2.28	0.02727	0.158193	5.18	0.02727	0	ILMN_1766991	137735	ABRA
5.16	-0.034	-0.23	0.8176	0.923047	0.05	0.8176	0	ILMN_1658083	29777	ABT1
8.65	-0.333	-1.44	0.15748	0.410181	2.06	0.15748	0	ILMN_1802096	80325	ABTB1
7.64	-0.49	-2.07	0.0435	0.204907	4.3	0.0435	0	ILMN_2367165	80325	ABTB1
7.58	-0.447	-1.62	0.11091	0.339938	2.64	0.11091	0	ILMN_1753370	25841	ABTB2
8.96	-0.112	-1.4	0.16927	0.426825	1.95	0.16927	0	ILMN_1738921	30	ACAA1
8.05	0.188	2.2	0.03273	0.175545	4.83	0.03273	0	ILMN_1660199	10449	ACAA2
8.65	0.207	2.04	0.04638	0.211828	4.18	0.04638	0	ILMN_2331636	31	ACACA
8.14	0.187	1.76	0.08425	0.29346	3.11	0.08425	0	ILMN_1772123	31	ACACA
1.36	0.012	0.17	0.86811	0.946381	0.03	0.86811	0	ILMN_1667641	31	ACACA
9.21	0.027	0.17	0.86885	0.946767	0.03	0.86885	0	ILMN_1763852	32	ACACB
6.72	0.043	0.47	0.64348	0.831916	0.22	0.64348	0	ILMN_1687303	80724	ACAD10
9.33	0.082	0.85	0.40111	0.667145	0.72	0.40111	0	ILMN_1761058	84129 /// 100532724	ACAD11 /// NPHP3-ACAD11
7.97	-0.023	-0.34	0.73563	0.882178	0.12	0.73563	0	ILMN_2225595	27034	ACAD8
2.39	0.657	4.15	0.00013	0.007013	17.24	0.00013	1	ILMN_1724699	27034	ACAD8
8.81	-0.022	-0.49	0.62659	0.822335	0.24	0.62659	0	ILMN_1775579	28976	ACAD9
2.29	0.41	1.47	0.14723	0.395527	2.17	0.14723	0	ILMN_1660890	33	ACADL
7.66	0.389	3.61	0.00071	0.019245	13.06	0.00071	1	ILMN_1778104	34	ACADM
9.42	0.216	3.16	0.00271	0.042477	9.98	0.00271	1	ILMN_2053679	34	ACADM
6.5	-0.015	-0.18	0.85656	0.941026	0.03	0.85656	0	ILMN_1795104	35	ACADS
3.85	0.291	1.99	0.0521	0.226273	3.96	0.0521	0	ILMN_1740920	36	ACADSB
6.54	0.726	4.37	7e-05	0.004649	19.06	7e-05	1	ILMN_2263466	37	ACADVL
11.51	0.237	2.03	0.04748	0.214352	4.13	0.04748	0	ILMN_1806408	37	ACADVL
9.47	0.21	1.55	0.1275	0.366113	2.4	0.1275	0	ILMN_2352009	37	ACADVL
7.53	-0.273	-1.09	0.27989	0.556775	1.19	0.27989	0	ILMN_1808395	9744	ACAP1
4.5	0.618	3.18	0.00256	0.041003	10.11	0.00256	1	ILMN_1743847	116983	ACAP3
10.48	0.137	1.04	0.30506	0.582627	1.07	0.30506	0	ILMN_1800008	38	ACAT1
1.57	-0.133	-1.41	0.16492	0.420672	1.99	0.16492	0	ILMN_2133799	39	ACAT2
7.34	-0.142	-1.71	0.09423	0.311257	2.91	0.09423	0	ILMN_1708672	39	ACAT2
9.8	0.033	0.42	0.67669	0.850089	0.18	0.67669	0	ILMN_1665945	64746	ACBD3
3.9	0.038	0.25	0.80179	0.91517	0.06	0.80179	0	ILMN_1676288	79777	ACBD4
4.51	0.243	1.68	0.09976	0.321337	2.82	0.09976	0	ILMN_1693250	91452	ACBD5
1.46	-0.038	-0.5	0.61674	0.81665	0.25	0.61674	0	ILMN_2295980	91452	ACBD5
2.3	-0.058	-0.47	0.64142	0.830572	0.22	0.64142	0	ILMN_2410362	91452	ACBD5
7.48	-0.128	-1.6	0.1158	0.347807	2.56	0.1158	0	ILMN_1684271	84320	ACBD6
1.91	0.056	0.36	0.7209	0.874492	0.13	0.7209	0	ILMN_1726388	414149	ACBD7
1.27	-0.053	-0.82	0.41858	0.681445	0.67	0.41858	0	ILMN_2106002	414149	ACBD7
3.12	0.107	0.4	0.6908	0.858092	0.16	0.6908	0	ILMN_1779685	40	ASIC2
1.6	0.047	0.76	0.45279	0.707187	0.57	0.45279	0	ILMN_1665932	40	ASIC2
5.47	0.257	1.19	0.24001	0.514292	1.41	0.24001	0	ILMN_1769694	41	ASIC1
1.61	0.035	0.4	0.69009	0.857493	0.16	0.69009	0	ILMN_1727251	41	ASIC1
5.66	-0.138	-1.29	0.20299	0.470649	1.67	0.20299	0	ILMN_1734479	9311	ASIC3
4.23	0.028	0.15	0.87935	0.951762	0.02	0.87935	0	ILMN_2368728	9311	ASIC3
2.42	-0.141	-1.04	0.30287	0.580179	1.08	0.30287	0	ILMN_2394902	55515	ASIC4
1.78	-0.123	-0.88	0.38207	0.651019	0.78	0.38207	0	ILMN_2394897	55515	ASIC4
1.69	-0.066	-0.72	0.4763	0.723813	0.52	0.4763	0	ILMN_2287535	55515	ASIC4
1.6	-0.238	-2.79	0.00746	0.074812	7.79	0.00746	0	ILMN_1750295	51802	ASIC5
2.5	-0.024	-0.18	0.85658	0.941026	0.03	0.85658	0	ILMN_1780630	390110	ACCSL
6.77	-0.1	-0.97	0.33477	0.609957	0.95	0.33477	0	ILMN_1716480	65057	ACD
1.8	-0.075	-0.86	0.39143	0.65892	0.75	0.39143	0	NA	NA	NA
3.2	0.472	1.58	0.12134	0.356719	2.49	0.12134	0	ILMN_2339410	1636	ACE
4.39	0.193	0.65	0.52132	0.754622	0.42	0.52132	0	ILMN_1779984	1636	ACE
6.86	0.218	0.68	0.50178	0.741263	0.46	0.50178	0	ILMN_1667018	59272	ACE2
1.87	-0.14	-1.3	0.20004	0.467531	1.69	0.20004	0	ILMN_1773243	125981	ACER1
4.25	-0.162	-0.48	0.63289	0.825618	0.23	0.63289	0	ILMN_1761000	340485	ACER2
1.77	-0.092	-0.55	0.585	0.798355	0.3	0.585	0	ILMN_2333219	43	ACHE
1.99	-0.004	-0.03	0.97252	0.989852	0	0.97252	0	ILMN_1780485	43	ACHE
3.33	-0.483	-3.46	0.00115	0.025896	11.94	0.00115	-1	NA	NA	NA
8.95	-0.02	-0.21	0.83788	0.932717	0.04	0.83788	0	ILMN_1699636	22985	ACIN1
10.63	0.077	0.88	0.38515	0.65372	0.77	0.38515	0	ILMN_2371379	47	ACLY
9.91	0.3	3.31	0.00176	0.033301	10.96	0.00176	1	ILMN_1749014	47	ACLY
6.23	0.26	1.9	0.06312	0.251194	3.62	0.06312	0	ILMN_1727091	130013	ACMSD
6.3	0.058	0.64	0.52356	0.75611	0.41	0.52356	0	ILMN_1771348	57001	SDHAF3
8.32	0.11	1.55	0.12737	0.365924	2.41	0.12737	0	ILMN_2134039	57001	SDHAF3
10.66	0.087	0.88	0.38402	0.652575	0.77	0.38402	0	ILMN_1750800	48	ACO1
8.27	0.234	2.86	0.00621	0.067457	8.18	0.00621	0	ILMN_1654861	50	ACO2
2.73	0.506	2.64	0.01115	0.094724	6.96	0.01115	0	ILMN_2121389	641371	ACOT1
7.14	0.44	2.84	0.00661	0.069876	8.05	0.00661	0	ILMN_1715543	641371	ACOT1
5.77	0.144	0.78	0.43846	0.696808	0.61	0.43846	0	ILMN_1739594	26027	ACOT11
2.56	-0.499	-3.31	0.00175	0.033279	10.96	0.00175	-1	ILMN_2353978	26027	ACOT11
2	-0.034	-0.34	0.73184	0.880218	0.12	0.73184	0	ILMN_1785474	134526	ACOT12
1.52	0.184	1.52	0.13449	0.376525	2.32	0.13449	0	ILMN_2188959	10965	ACOT2
7.24	0.498	2.99	0.00435	0.055307	8.94	0.00435	0	ILMN_1716237	10965	ACOT2
7.09	-0.135	-1.08	0.28714	0.564231	1.16	0.28714	0	ILMN_1764321	122970	ACOT4
1.57	0.037	0.39	0.69944	0.862617	0.15	0.69944	0	ILMN_1788078	11332	ACOT7
1.98	0.305	1.44	0.1557	0.407917	2.08	0.1557	0	ILMN_1784756	11332	ACOT7
2.02	-0.059	-0.4	0.69068	0.857983	0.16	0.69068	0	NA	NA	NA
9.67	0.042	0.51	0.60942	0.81265	0.26	0.60942	0	ILMN_1740265	11332	ACOT7
1.74	-0.061	-0.58	0.56391	0.784067	0.34	0.56391	0	ILMN_2252621	11332	ACOT7
7.9	0.129	1.24	0.22123	0.492661	1.54	0.22123	0	ILMN_2332250	11332	ACOT7
2.53	0.398	2.6	0.01229	0.100302	6.76	0.01229	0	ILMN_1719178	11332	ACOT7
